# t x y z vx vy vz m
710.001 -37.14654 -15.15421 0.00012 -0.00018 -0.00009 -0.00000 1.000e+04 
720.001 57.13963 15.95046 0.00062 -0.00111 0.00264 0.00000 1.000e+04 
730.001 -38.44581 20.94077 -0.00038 -0.00141 -0.00002 -0.00000 1.000e+04 
740.001 55.26645 -10.22787 0.00062 -0.00046 0.00267 -0.00000 1.000e+04 
750.001 -18.09134 46.56933 -0.00017 -0.00207 0.00073 0.00000 1.000e+04 
760.001 38.42249 -33.34136 -0.00010 0.00023 0.00234 -0.00000 1.000e+04 
770.001 9.75743 54.62978 -0.00147 -0.00214 0.00151 0.00000 1.000e+04 
780.001 8.23703 -43.90272 0.00026 0.00070 0.00152 -0.00000 1.000e+04 
790.001 35.21877 47.34769 0.00029 -0.00188 0.00211 0.00000 1.000e+04 
800.001 -25.23438 -31.50835 -0.00096 0.00041 0.00035 -0.00000 1.000e+04 
810.001 52.49715 28.88261 0.00175 -0.00142 0.00252 -0.00000 1.000e+04 
820.001 -41.21448 1.70857 -0.00060 -0.00078 -0.00019 0.00000 1.000e+04 
830.001 58.05810 3.98047 -0.00023 -0.00082 0.00269 -0.00000 1.000e+04 
840.001 -30.86453 34.85013 0.00077 -0.00180 0.00029 0.00000 1.000e+04 
850.001 49.38592 -21.72384 -0.00082 -0.00014 0.00257 -0.00000 1.000e+04 
860.001 -5.56558 52.38077 -0.00087 -0.00216 0.00110 0.00000 1.000e+04 
870.001 25.95103 -40.38390 -0.00070 0.00049 0.00203 -0.00000 1.000e+04 
880.001 21.92601 52.97470 -0.00333 -0.00205 0.00180 0.00000 1.000e+04 
890.001 -7.53870 -41.58377 -0.00230 0.00070 0.00099 -0.00000 1.000e+04 
900.001 44.19334 40.18976 0.00328 -0.00169 0.00232 0.00000 1.000e+04 
910.001 -35.69459 -18.15019 -0.00366 -0.00007 -0.00003 -0.00000 1.000e+04 
920.001 56.52217 18.34968 0.00594 -0.00117 0.00263 -0.00000 1.000e+04 
930.001 -39.49086 17.69697 -0.00377 -0.00131 -0.00006 0.00000 1.000e+04 
940.001 56.06880 -7.56758 -0.00040 -0.00053 0.00268 -0.00000 1.000e+04 
950.001 -20.71884 44.82153 0.00003 -0.00203 0.00065 0.00000 1.000e+04 
960.001 40.73608 -31.40275 -0.00346 0.00016 0.00240 -0.00000 1.000e+04 
970.001 6.96401 54.63309 0.00354 -0.00215 0.00144 0.00000 1.000e+04 
980.001 11.51506 -43.68925 -0.00111 0.00068 0.00162 0.00000 1.000e+04 
990.001 32.80948 48.72309 0.00330 -0.00192 0.00206 -0.00000 1.000e+04 
1000.001 -22.25161 -33.93499 0.00035 0.00049 0.00046 0.00000 1.000e+04 
1010.001 51.05942 31.38300 -0.00276 -0.00147 0.00248 -0.00000 1.000e+04 
1020.001 -40.87463 -2.10829 0.00221 -0.00064 -0.00019 -0.00000 1.000e+04 
1030.001 57.99962 7.07201 -0.00254 -0.00089 0.00269 0.00000 1.000e+04 
1040.001 -33.12005 31.83726 0.00329 -0.00172 0.00021 -0.00000 1.000e+04 
1050.001 51.10458 -18.77351 0.00217 -0.00022 0.00261 0.00000 1.000e+04 
1060.001 -8.90216 51.37396 -0.00056 -0.00214 0.00101 -0.00000 1.000e+04 
1070.001 29.28540 -38.76792 0.00200 0.00043 0.00212 -0.00000 1.000e+04 
1080.001 18.72288 53.85212 -0.00381 -0.00208 0.00173 0.00000 1.000e+04 
1090.001 -3.74744 -42.52208 -0.00152 0.00072 0.00113 -0.00000 1.000e+04 
1100.001 41.88755 42.45359 0.00089 -0.00174 0.00227 0.00000 1.000e+04 
1110.001 -33.71519 -21.58216 -0.00167 0.00006 0.00004 -0.00000 1.000e+04 
1120.001 55.65800 21.28431 0.00194 -0.00123 0.00260 0.00000 1.000e+04 
1130.000 -40.40991 14.26713 0.00107 -0.00120 -0.00011 0.00000 1.000e+04 
1140.000 56.70228 -4.54724 -0.00168 -0.00060 0.00269 -0.00000 1.000e+04 
1150.000 -23.51650 42.78174 -0.00139 -0.00198 0.00056 0.00000 1.000e+04 
1160.000 43.12979 -28.90519 -0.00553 0.00009 0.00245 -0.00000 1.000e+04 
1170.000 3.46816 54.48769 0.00035 -0.00216 0.00135 0.00000 1.000e+04 
1180.000 15.36080 -43.09450 -0.00359 0.00064 0.00174 -0.00000 1.000e+04 
1190.000 29.89552 50.32087 0.00339 -0.00196 0.00199 0.00000 1.000e+04 
1200.000 -19.01613 -36.14636 -0.00412 0.00056 0.00058 0.00000 1.000e+04 
1210.000 49.36857 33.99778 0.00111 -0.00153 0.00244 -0.00000 1.000e+04 
1220.000 -40.27788 -5.87554 -0.00217 -0.00051 -0.00017 -0.00000 1.000e+04 
1230.000 57.78814 10.01357 0.00385 -0.00096 0.00268 0.00000 1.000e+04 
1240.000 -35.05141 28.85304 -0.00417 -0.00163 0.00014 -0.00000 1.000e+04 
1250.000 52.47816 -16.15238 0.00181 -0.00029 0.00263 0.00000 1.000e+04 
1260.000 -11.77142 50.25487 -0.00134 -0.00212 0.00093 -0.00000 1.000e+04 
1270.000 32.01644 -37.32352 0.00317 0.00038 0.00220 0.00000 1.000e+04 
1280.000 16.13511 54.35267 0.00100 -0.00210 0.00167 -0.00000 1.000e+04 
1290.000 -0.67737 -43.12532 0.00552 0.00073 0.00123 0.00000 1.000e+04 
1300.000 39.96652 44.00341 0.00364 -0.00178 0.00223 -0.00000 1.000e+04 
1310.000 -31.64782 -24.55741 -0.00599 0.00017 0.00012 0.00000 1.000e+04 
1320.000 54.70344 23.74044 0.00398 -0.00129 0.00258 -0.00000 1.000e+04 
1330.000 -41.05297 10.50094 -0.00087 -0.00107 -0.00014 0.00000 1.000e+04 
1340.000 57.18524 -1.78058 0.00099 -0.00067 0.00270 -0.00000 1.000e+04 
1350.000 -26.20553 40.34237 -0.00610 -0.00193 0.00047 0.00000 1.000e+04 
1360.000 45.31324 -26.62326 0.01160 0.00001 0.00250 -0.00000 1.000e+04 
1370.000 0.31671 53.97736 -0.00867 -0.00216 0.00126 -0.00000 1.000e+04 
1380.000 18.93838 -42.42762 0.00456 0.00060 0.00184 0.00000 1.000e+04 
1390.000 27.02244 51.39107 0.00281 -0.00200 0.00193 -0.00000 1.000e+04 
1400.000 -15.00379 -38.46720 -0.00633 0.00063 0.00073 0.00000 1.000e+04 
1410.000 47.29372 36.55251 0.01119 -0.00160 0.00240 0.00000 1.000e+04 
1420.000 -38.85032 -11.03293 -0.00883 -0.00032 -0.00013 -0.00000 1.000e+04 
1430.000 57.30121 13.66332 0.01752 -0.00105 0.00266 0.00000 1.000e+04 
1440.000 -37.36871 24.20487 -0.00558 -0.00150 0.00005 -0.00000 1.000e+04 
1450.000 54.11623 -12.31914 0.01347 -0.00040 0.00267 0.00000 1.000e+04 
1460.000 -16.32246 47.87240 0.00478 -0.00208 0.00079 -0.00000 1.000e+04 
1470.000 36.32623 -34.54068 0.00200 0.00028 0.00230 0.00000 1.000e+04 
1480.000 11.05099 54.69744 0.01106 -0.00213 0.00154 -0.00000 1.000e+04 
1490.000 5.85994 -43.74323 -0.01006 0.00071 0.00145 0.00000 1.000e+04 
1500.000 35.84111 46.91940 0.01929 -0.00186 0.00213 0.00000 1.000e+04 
1510.000 -26.85685 -30.04212 -0.01191 0.00036 0.00030 -0.00000 1.000e+04 
1520.000 52.64947 28.26600 0.01293 -0.00140 0.00253 0.00000 1.000e+04 
1530.000 -41.44364 3.45110 -0.00144 -0.00084 -0.00018 -0.00000 1.000e+04 
1540.000 57.78335 3.32556 0.00098 -0.00080 0.00270 0.00000 1.000e+04 
1550.000 -30.32861 35.92937 0.00263 -0.00182 0.00033 -0.00000 1.000e+04 
1560.000 48.61198 -22.39567 -0.00430 -0.00011 0.00257 0.00000 1.000e+04 
1570.000 -4.87239 52.83034 0.01154 -0.00215 0.00112 -0.00000 1.000e+04 
1580.000 24.56487 -40.72721 -0.00579 0.00052 0.00200 0.00000 1.000e+04 
1590.000 22.66171 52.94971 0.00865 -0.00204 0.00182 0.00000 1.000e+04 
1600.000 -9.44075 -40.86554 -0.00957 0.00069 0.00093 -0.00000 1.000e+04 
1610.000 44.58676 39.73637 0.01171 -0.00168 0.00233 0.00000 1.000e+04 
1620.000 -36.64566 -16.45932 -0.00518 -0.00012 -0.00006 -0.00000 1.000e+04 
1630.000 56.55989 17.63492 0.00326 -0.00115 0.00264 0.00000 1.000e+04 
1640.000 -39.19984 19.34656 0.00661 -0.00135 -0.00004 -0.00000 1.000e+04 
1650.000 55.57145 -8.43363 -0.00316 -0.00050 0.00268 0.00000 1.000e+04 
1660.000 -19.91326 45.64932 0.00840 -0.00204 0.00068 -0.00000 1.000e+04 
1670.000 39.64631 -32.03724 -0.01275 0.00019 0.00238 0.00000 1.000e+04 
1680.000 7.57072 54.78867 0.01042 -0.00215 0.00146 0.00000 1.000e+04 
1690.000 10.05808 -43.68520 -0.01246 0.00069 0.00158 -0.00000 1.000e+04 
1700.000 33.08800 48.55098 0.00277 -0.00191 0.00207 0.00000 1.000e+04 
1710.000 -23.34484 -33.14455 -0.00111 0.00046 0.00043 -0.00000 1.000e+04 
1720.000 51.11068 31.03514 -0.00208 -0.00147 0.00249 0.00000 1.000e+04 
1730.000 -41.13420 -1.18115 0.00579 -0.00068 -0.00018 -0.00000 1.000e+04 
1740.000 57.80611 6.66125 -0.00271 -0.00088 0.00269 0.00000 1.000e+04 
1750.000 -33.01933 32.24342 0.01360 -0.00173 0.00023 -0.00000 1.000e+04 
1760.000 50.71624 -19.11598 -0.00885 -0.00021 0.00261 0.00000 1.000e+04 
1770.000 -8.96627 51.40362 0.01938 -0.00214 0.00101 -0.00000 1.000e+04 
1780.000 28.87550 -38.94605 -0.00982 0.00044 0.00212 0.00000 1.000e+04 
1790.000 18.68795 53.82797 0.01847 -0.00208 0.00173 -0.00000 1.000e+04 
1800.000 -4.13843 -42.46712 -0.01339 0.00072 0.00112 0.00000 1.000e+04 
1810.000 41.63996 42.44953 0.01677 -0.00175 0.00227 0.00000 1.000e+04 
1820.000 -33.57314 -21.91419 -0.00796 0.00007 0.00005 -0.00000 1.000e+04 
1830.000 55.39124 21.58538 0.00693 -0.00124 0.00260 0.00000 1.000e+04 
1840.000 -40.65196 13.31045 0.00351 -0.00117 -0.00011 -0.00000 1.000e+04 
1850.000 56.73817 -4.03976 -0.00013 -0.00062 0.00270 0.00000 1.000e+04 
1860.000 -24.35122 42.07496 0.01290 -0.00197 0.00053 -0.00000 1.000e+04 
1870.000 43.54244 -28.53350 -0.00718 0.00007 0.00246 0.00000 1.000e+04 
